algorithm_name,size,success_rate,time_mean,time_std,states_mean,states_std,origin
GA,4,100.0,0.003176633333333333,0.0034315721186865835,152.0,79.5851311706419,TP4
GA,8,63.33333333333333,0.2040568,0.17429761105815336,4800.0,4303.416445505625,TP4
GA,10,36.666666666666664,0.5184891333333334,0.23901524587742032,8002.666666666667,3319.724680455141,TP4
HC,4,26.666666666666668,0.00010726666666666667,4.218181773141642e-05,3.1666666666666665,0.7466399831028445,TP4
HC,8,6.666666666666667,0.0012750666666666668,0.0003318769956322449,5.2,0.8469010445797932,TP4
HC,10,0.0,0.0036916,0.0011853797180068797,6.133333333333334,1.2521246311585852,TP4
RANDOM,4,100.0,0.0010270666666666666,0.0009796248026785503,151.73333333333332,157.30816085398865,TP4
RANDOM,8,0.0,0.09300493333333333,0.0036004204154259653,10000.0,0.0,TP4
RANDOM,10,0.0,0.13047823333333333,0.0087594984767604,10000.0,0.0,TP4
SA,4,100.0,0.0005175666666666667,0.0004800876847592232,76.03333333333333,65.3106546376271,TP4
SA,8,73.33333333333333,0.008538633333333333,0.0064822127207822535,1049.6333333333334,656.330524561569,TP4
SA,10,66.66666666666666,0.013852533333333333,0.007055883975184426,1166.1333333333334,608.5728774160386,TP4
BT,4,100.0,5.4499999999999997e-05,1.3825887762230428e-05,22.433333333333334,12.618222546376533,TP5-CSP
BT,8,100.0,0.0002004,9.806458111349641e-05,122.06666666666666,96.91301942119715,TP5-CSP
BT,10,100.0,0.0008363333333333334,0.0010944417671165494,661.6666666666666,1005.8051615439771,TP5-CSP
FC,4,100.0,0.0002516666666666667,8.436061073556877e-05,7.2,2.8575369186380266,TP5-CSP
FC,8,100.0,0.0010865,0.0004751684819165688,17.6,10.193304090228157,TP5-CSP
FC,10,100.0,0.003276866666666667,0.003853205505973483,55.833333333333336,76.28805814865099,TP5-CSP
