algorithm_name,size,success_rate,time_mean,time_std,states_mean,states_std
BT,4,100.0,5.4499999999999997e-05,1.3825887762230428e-05,22.433333333333334,12.618222546376533
BT,8,100.0,0.0002004,9.806458111349641e-05,122.06666666666666,96.91301942119715
BT,10,100.0,0.0008363333333333334,0.0010944417671165494,661.6666666666666,1005.8051615439771
FC,4,100.0,0.0002516666666666667,8.436061073556877e-05,7.2,2.8575369186380266
FC,8,100.0,0.0010865,0.0004751684819165688,17.6,10.193304090228157
FC,10,100.0,0.003276866666666667,0.003853205505973483,55.833333333333336,76.28805814865099
