algorithm_name,env_n,size,success,states,time,seed,solution
BT,61,8,1,59,0.000144,0,"{0: 4, 1: 1, 2: 5, 3: 0, 4: 6, 5: 3, 6: 7, 7: 2}"
FC,62,8,1,10,0.000751,0,"{0: 4, 1: 1, 2: 5, 3: 0, 4: 6, 5: 3, 6: 7, 7: 2}"
BT,63,8,1,30,9.7e-05,1,"{0: 3, 1: 6, 2: 2, 3: 7, 4: 1, 5: 4, 6: 0, 7: 5}"
FC,64,8,1,8,0.000638,1,"{0: 3, 1: 6, 2: 2, 3: 7, 4: 1, 5: 4, 6: 0, 7: 5}"
BT,65,8,1,129,0.000259,2,"{0: 5, 1: 3, 2: 0, 3: 4, 4: 7, 5: 1, 6: 6, 7: 2}"
FC,66,8,1,16,0.001125,2,"{0: 5, 1: 3, 2: 0, 3: 4, 4: 7, 5: 1, 6: 6, 7: 2}"
BT,67,8,1,359,0.000416,3,"{0: 0, 1: 5, 2: 7, 3: 2, 4: 6, 5: 3, 6: 1, 7: 4}"
FC,68,8,1,44,0.002167,3,"{0: 0, 1: 5, 2: 7, 3: 2, 4: 6, 5: 3, 6: 1, 7: 4}"
BT,69,8,1,335,0.000217,4,"{0: 1, 1: 7, 2: 5, 3: 0, 4: 2, 5: 4, 6: 6, 7: 3}"
FC,70,8,1,40,0.001596,4,"{0: 1, 1: 7, 2: 5, 3: 0, 4: 2, 5: 4, 6: 6, 7: 3}"
BT,71,8,1,110,0.000182,5,"{0: 6, 1: 4, 2: 2, 3: 0, 4: 5, 5: 7, 6: 1, 7: 3}"
FC,72,8,1,17,0.001077,5,"{0: 6, 1: 4, 2: 2, 3: 0, 4: 5, 5: 7, 6: 1, 7: 3}"
BT,73,8,1,87,0.000209,6,"{0: 5, 1: 1, 2: 6, 3: 0, 4: 3, 5: 7, 6: 4, 7: 2}"
FC,74,8,1,16,0.001077,6,"{0: 5, 1: 1, 2: 6, 3: 0, 4: 3, 5: 7, 6: 4, 7: 2}"
BT,75,8,1,217,0.000309,7,"{0: 6, 1: 3, 2: 1, 3: 7, 4: 5, 5: 0, 6: 2, 7: 4}"
FC,76,8,1,25,0.000992,7,"{0: 6, 1: 3, 2: 1, 3: 7, 4: 5, 5: 0, 6: 2, 7: 4}"
BT,77,8,1,23,4.7e-05,8,"{0: 5, 1: 2, 2: 0, 3: 7, 4: 4, 5: 1, 6: 3, 7: 6}"
FC,78,8,1,8,0.000246,8,"{0: 5, 1: 2, 2: 0, 3: 7, 4: 4, 5: 1, 6: 3, 7: 6}"
BT,79,8,1,81,7.9e-05,9,"{0: 3, 1: 7, 2: 0, 3: 4, 4: 6, 5: 1, 6: 5, 7: 2}"
FC,80,8,1,16,0.000476,9,"{0: 3, 1: 7, 2: 0, 3: 4, 4: 6, 5: 1, 6: 5, 7: 2}"
BT,81,8,1,127,0.000177,10,"{0: 2, 1: 4, 2: 7, 3: 3, 4: 0, 5: 6, 6: 1, 7: 5}"
FC,82,8,1,16,0.001023,10,"{0: 2, 1: 4, 2: 7, 3: 3, 4: 0, 5: 6, 6: 1, 7: 5}"
BT,83,8,1,141,0.000216,11,"{0: 1, 1: 7, 2: 5, 3: 0, 4: 2, 5: 4, 6: 6, 7: 3}"
FC,84,8,1,21,0.001402,11,"{0: 1, 1: 7, 2: 5, 3: 0, 4: 2, 5: 4, 6: 6, 7: 3}"
BT,85,8,1,114,0.000197,12,"{0: 3, 1: 1, 2: 7, 3: 4, 4: 6, 5: 0, 6: 2, 7: 5}"
FC,86,8,1,18,0.001221,12,"{0: 3, 1: 1, 2: 7, 3: 4, 4: 6, 5: 0, 6: 2, 7: 5}"
BT,87,8,1,112,0.000173,13,"{0: 3, 1: 7, 2: 0, 3: 4, 4: 6, 5: 1, 6: 5, 7: 2}"
FC,88,8,1,18,0.001161,13,"{0: 3, 1: 7, 2: 0, 3: 4, 4: 6, 5: 1, 6: 5, 7: 2}"
BT,89,8,1,49,0.000146,14,"{0: 0, 1: 6, 2: 4, 3: 7, 4: 1, 5: 3, 6: 5, 7: 2}"
FC,90,8,1,9,0.000874,14,"{0: 0, 1: 6, 2: 4, 3: 7, 4: 1, 5: 3, 6: 5, 7: 2}"
BT,91,8,1,358,0.000471,15,"{0: 7, 1: 3, 2: 0, 3: 2, 4: 5, 5: 1, 6: 6, 7: 4}"
FC,92,8,1,42,0.002194,15,"{0: 7, 1: 3, 2: 0, 3: 2, 4: 5, 5: 1, 6: 6, 7: 4}"
BT,93,8,1,88,0.000143,16,"{0: 4, 1: 6, 2: 3, 3: 0, 4: 2, 5: 7, 6: 5, 7: 1}"
FC,94,8,1,16,0.00116,16,"{0: 4, 1: 6, 2: 3, 3: 0, 4: 2, 5: 7, 6: 5, 7: 1}"
BT,95,8,1,53,0.000231,17,"{0: 3, 1: 6, 2: 2, 3: 7, 4: 1, 5: 4, 6: 0, 7: 5}"
FC,96,8,1,11,0.000921,17,"{0: 3, 1: 6, 2: 2, 3: 7, 4: 1, 5: 4, 6: 0, 7: 5}"
BT,97,8,1,51,0.0001,18,"{0: 1, 1: 4, 2: 6, 3: 0, 4: 2, 5: 7, 6: 5, 7: 3}"
