size,dirt_rate,agent,performance
64,0.4,Reflexive,274
64,0.4,Reflexive,283
64,0.4,Reflexive,292
64,0.8,Reflexive,453
64,0.8,Reflexive,444
64,0.8,Reflexive,441
64,0.8,Reflexive,441
64,0.8,Reflexive,451
64,0.8,Reflexive,442
64,0.8,Reflexive,447
64,0.8,Reflexive,452
64,0.8,Reflexive,438
64,0.8,Reflexive,452
128,0.1,Reflexive,101
128,0.1,Reflexive,103
128,0.1,Reflexive,96
128,0.1,Reflexive,76
128,0.1,Reflexive,77
128,0.1,Reflexive,85
128,0.1,Reflexive,84
128,0.1,Reflexive,97
128,0.1,Reflexive,95
128,0.1,Reflexive,109
128,0.2,Reflexive,154
128,0.2,Reflexive,163
128,0.2,Reflexive,179
128,0.2,Reflexive,156
128,0.2,Reflexive,146
128,0.2,Reflexive,179
128,0.2,Reflexive,175
128,0.2,Reflexive,174
128,0.2,Reflexive,182
128,0.2,Reflexive,157
128,0.4,Reflexive,291
128,0.4,Reflexive,292
128,0.4,Reflexive,282
128,0.4,Reflexive,296
128,0.4,Reflexive,290
128,0.4,Reflexive,277
128,0.4,Reflexive,286
128,0.4,Reflexive,287
128,0.4,Reflexive,284
128,0.4,Reflexive,285
128,0.8,Reflexive,439
128,0.8,Reflexive,447
128,0.8,Reflexive,449
128,0.8,Reflexive,441
128,0.8,Reflexive,453
128,0.8,Reflexive,446
128,0.8,Reflexive,448
128,0.8,Reflexive,447
128,0.8,Reflexive,436
128,0.8,Reflexive,452
2,0.1,Random,0
2,0.1,Random,0
2,0.1,Random,0
2,0.1,Random,0
2,0.1,Random,0
2,0.1,Random,0
2,0.1,Random,0
2,0.1,Random,0
2,0.1,Random,0
2,0.1,Random,0
2,0.2,Random,0
2,0.2,Random,0
2,0.2,Random,0
2,0.2,Random,0
2,0.2,Random,0
2,0.2,Random,0
2,0.2,Random,0
2,0.2,Random,0
2,0.2,Random,0
2,0.2,Random,0
2,0.4,Random,1
2,0.4,Random,1
2,0.4,Random,1
2,0.4,Random,1
2,0.4,Random,1
2,0.4,Random,1
2,0.4,Random,1
2,0.4,Random,1
2,0.4,Random,1
2,0.4,Random,1
2,0.8,Random,3
2,0.8,Random,3
2,0.8,Random,3
2,0.8,Random,3
2,0.8,Random,3
2,0.8,Random,3
2,0.8,Random,3
2,0.8,Random,3
2,0.8,Random,3
2,0.8,Random,3
4,0.1,Random,1
4,0.1,Random,1
4,0.1,Random,1
4,0.1,Random,1
4,0.1,Random,1
4,0.1,Random,1
4,0.1,Random,1
4,0.1,Random,1
4,0.1,Random,1
4,0.1,Random,1
4,0.2,Random,3
4,0.2,Random,3
4,0.2,Random,3
4,0.2,Random,3
4,0.2,Random,3
4,0.2,Random,3
4,0.2,Random,3
4,0.2,Random,3
4,0.2,Random,3
4,0.2,Random,3
4,0.4,Random,6
4,0.4,Random,6
4,0.4,Random,6
4,0.4,Random,6
4,0.4,Random,6
4,0.4,Random,6
4,0.4,Random,6
4,0.4,Random,6
4,0.4,Random,6
4,0.4,Random,6
4,0.8,Random,12
4,0.8,Random,12
4,0.8,Random,12
4,0.8,Random,12
4,0.8,Random,12
4,0.8,Random,12
4,0.8,Random,12
4,0.8,Random,12
4,0.8,Random,12
4,0.8,Random,12
8,0.1,Random,5
8,0.1,Random,5
8,0.1,Random,6
8,0.1,Random,5
8,0.1,Random,6
8,0.1,Random,6
8,0.1,Random,4
8,0.1,Random,6
8,0.1,Random,5
8,0.1,Random,5
8,0.2,Random,11
8,0.2,Random,11
8,0.2,Random,9
8,0.2,Random,9
8,0.2,Random,9
8,0.2,Random,10
8,0.2,Random,11
8,0.2,Random,8
8,0.2,Random,11
8,0.2,Random,9
8,0.4,Random,22
8,0.4,Random,22
8,0.4,Random,23
8,0.4,Random,22
8,0.4,Random,23
8,0.4,Random,20
8,0.4,Random,24
8,0.4,Random,22
8,0.4,Random,22
8,0.4,Random,20
8,0.8,Random,43
8,0.8,Random,47
8,0.8,Random,47
8,0.8,Random,42
8,0.8,Random,47
8,0.8,Random,46
8,0.8,Random,49
8,0.8,Random,49
8,0.8,Random,46
8,0.8,Random,45
16,0.1,Random,12
16,0.1,Random,9
16,0.1,Random,7
16,0.1,Random,13
16,0.1,Random,14
16,0.1,Random,13
16,0.1,Random,6
16,0.1,Random,14
16,0.1,Random,9
16,0.1,Random,4
16,0.2,Random,22
16,0.2,Random,21
16,0.2,Random,14
16,0.2,Random,16
16,0.2,Random,16
16,0.2,Random,17
16,0.2,Random,18
16,0.2,Random,17
16,0.2,Random,18
16,0.2,Random,16
16,0.4,Random,34
16,0.4,Random,36
16,0.4,Random,37
16,0.4,Random,40
16,0.4,Random,38
16,0.4,Random,41
16,0.4,Random,31
16,0.4,Random,33
16,0.4,Random,45
16,0.4,Random,34
16,0.8,Random,73
16,0.8,Random,77
16,0.8,Random,77
16,0.8,Random,85
16,0.8,Random,71
16,0.8,Random,81
16,0.8,Random,63
16,0.8,Random,80
16,0.8,Random,71
16,0.8,Random,68
32,0.1,Random,12
32,0.1,Random,10
32,0.1,Random,12
32,0.1,Random,7
32,0.1,Random,9
32,0.1,Random,10
32,0.1,Random,14
32,0.1,Random,13
32,0.1,Random,14
32,0.1,Random,12
32,0.2,Random,21
32,0.2,Random,27
32,0.2,Random,29
32,0.2,Random,29
32,0.2,Random,22
32,0.2,Random,17
32,0.2,Random,18
32,0.2,Random,24
